"Da Vinci Code,The","Brown, Dan"
Harry Potter and the Deathly Hallows,"Rowling, J.K."
Harry Potter and the Philosopher's Stone,"Rowling, J.K."
Harry Potter and the Order of the Phoenix,"Rowling, J.K."
Fifty Shades of Grey,"James, E. L."
Harry Potter and the Goblet of Fire,"Rowling, J.K."
Harry Potter and the Chamber of Secrets,"Rowling, J.K."
Harry Potter and the Prisoner of Azkaban,"Rowling, J.K."
Angels and Demons,"Brown, Dan"
Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J.K."
Fifty Shades Darker,"James, E. L."
Twilight,"Meyer, Stephenie"
"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg"
Fifty Shades Freed,"James, E. L."
"Lost Symbol,The","Brown, Dan"
New Moon,"Meyer, Stephenie"
Deception Point,"Brown, Dan"
Eclipse,"Meyer, Stephenie"
"Lovely Bones,The","Sebold, Alice"
"Curious Incident of the Dog in the Night-time,The","Haddon, Mark"
Digital Fortress,"Brown, Dan"
"Short History of Nearly Everything,A","Bryson, Bill"
"Girl Who Played with Fire,The:Millennium Trilogy","Larsson, Stieg"
Breaking Dawn,"Meyer, Stephenie"
"Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Carle, Eric"
"Gruffalo,The","Donaldson, Julia"
Jamie's 30-Minute Meals,"Oliver, Jamie"
"Kite Runner,The","Hosseini, Khaled"
One Day,"Nicholls, David"
"Thousand Splendid Suns,A","Hosseini, Khaled"
"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg"
"Time Traveler's Wife,The","Niffenegger, Audrey"
Atonement,"McEwan, Ian"
Bridget Jones's Diary:A Novel,"Fielding, Helen"
"World According to Clarkson,The","Clarkson, Jeremy"
Captain Corelli's Mandolin,"Bernieres, Louis de"
"Sound of Laughter,The","Kay, Peter"
Life of Pi,"Martel, Yann"
Billy Connolly,"Stephenson, Pamela"
"Child Called It,A","Pelzer, Dave"
"Gruffalo's Child,The","Donaldson, Julia"
Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank"
Birdsong,"Faulks, Sebastian"
Northern Lights:His Dark Materials S.,"Pullman, Philip"
Labyrinth,"Mosse, Kate"
Harry Potter and the Half-blood Prince,"Rowling, J.K."
"Help,The","Stockett, Kathryn"
Man and Boy,"Parsons, Tony"
Memoirs of a Geisha,"Golden, Arthur"
"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander"
"Island,The","Hislop, Victoria"
"PS, I Love You","Ahern, Cecelia"
You are What You Eat:The Plan That Will Change Your Life,"McKeith, Gillian"
"Shadow of the Wind,The","Zafon, Carlos Ruiz"
"Tales of Beedle the Bard,The","Rowling, J.K."
"Broker,The","Grisham, John"
"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C."
"Subtle Knife,The:His Dark Materials S.","Pullman, Philip"
"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne"
Delia's How to Cook:(Bk.1),"Smith, Delia"
Chocolat,"Harris, Joanne"
"Boy in the Striped Pyjamas,The","Boyne, John"
My Sister's Keeper,"Picoult, Jodi"
"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip"
To Kill a Mockingbird,"Lee, Harper"
"Men are from Mars, Women are from Venus:A Practical Guide for Improvin","Gray, John"
Dear Fatty,"French, Dawn"
"Short History of Tractors in Ukrainian,A","Lewycka, Marina"
Hannibal,"Harris, Thomas"
"Lord of the Rings,The","Tolkien, J. R. R."
Stupid White Men:...and Other Sorry Excuses for the State of the Natio,"Moore, Michael"
"Interpretation of Murder,The","Rubenfeld, Jed"
Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon"
"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo"
At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul"
Notes from a Small Island,"Bryson, Bill"
"Return of the Naked Chef,The","Oliver, Jamie"
Bridget Jones: The Edge of Reason,"Fielding, Helen"
Jamie's Italy,"Oliver, Jamie"
I Can Make You Thin,"McKenna, Paul"
Down Under,"Bryson, Bill"
"Summons,The","Grisham, John"
Small Island,"Levy, Andrea"
Nigella Express,"Lawson, Nigella"
Brick Lane,"Ali, Monica"
"Memory Keeper's Daughter,The","Edwards, Kim"
Room on the Broom,"Donaldson, Julia"
About a Boy,"Hornby, Nick"
My Booky Wook,"Brand, Russell"
"God Delusion,The","Dawkins, Richard"
White Teeth,"Smith, Zadie"
"House at Riverton,The","Morton, Kate"
"Book Thief,The","Zusak, Markus"
Nights of Rain and Stars,"Binchy, Maeve"
"Ghost,The","Harris, Robert"
Happy Days with the Naked Chef,"Oliver, Jamie"
"Hunger Games,The:Hunger Games Trilogy","Collins, Suzanne"
"Lost Boy,The:A Foster Child's Search for the Love of a Family","Pelzer, Dave"
Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie"
